1,"Which of these best describes an array?|a) A data structure that shows a hierarchical behavior|b) Container of objects of similar types|c) Arrays are immutable once initialised|d) Array is not a data structure","b","Array contains elements only of the same type.",10,
2,"How do you initialize an array in C?|a) int arr[3] = (1,2,3);|b) int arr(3) = {1,2,3};|c) int arr[3] = {1,2,3};|d) int arr(3) = (1,2,3);","c","This is the syntax to initialize an array in C.",10,
3,"How do you instantiate an array in Java?|a) int arr[] = new int(3);|b) int arr[];|c) int arr[] = new int[3];|d) int arr() = new int(3);","c","Note that int arr[]; is declaration whereas int arr[] = new int[3]; is to instantiate an array.",10,
4,"Which of the following is the correct way to declare a multidimensional array in Java?|a) int[] arr;|b) int arr[[]];|c) int[][]arr;|d) int[[]] arr;","c","The syntax to declare multidimensional array in java is either int[][] arr; or int arr[][].",10,
7,"When does the ArrayIndexOutOfBoundsException occur?|a) Compile-time|b) Run-time|c) Not an error|d) Not an exception at all","b","ArrayIndexOutOfBoundsException is a run-time exception and the compilation is error-free.",10,
8,"Which of the following concepts make extensive use of arrays?|a) Binary trees|b) Scheduling of processes|c) Caching|d) Spatial locality","d","Whenever a particular memory location is referred to, it is likely that the locations nearby are also referred, arrays are stored as contiguous blocks in memory, so if you want to access array elements, spatial locality makes it to access quickly.",10,
9,"Assuming int is of 4bytes, what is the size of int arr[15];?|a) 15|b) 19|c) 11|d) 60","d","Since there are 15 int elements and each int is of 4bytes, we get 15*4 = 60bytes.",10,
10,"Process of removing an element from stack is called __________|a) Create|b) Push|c) Evaluation|d) Pop","d","Elements in the stack are removed using pop operation. Pop operation removes the top most element in the stack i.e. last entered element.",10,
11,"Pushing an element into stack already having five elements and stack size of 5, then stack becomes ___________|a) Overflow|b) Crash|c) Underflow|d) User flow","a","The stack is filled with 5 elements and pushing one more element causes a stack overflow. This results in overwriting memory, code and loss of unsaved work on the computer.",10,
12,"Which of the following is not the application of stack?|a) A parentheses balancing program|b) Tracking of local variables at run time|c) Compiler Syntax Analyzer|d) Data Transfer between two asynchronous process","d","Data transfer between the two asynchronous process uses the queue data structure for synchronisation. The rest are all stack applications.",10,
13,"Consider the usual algorithm for determining whether a sequence of parentheses is balanced. The maximum number of parentheses that appear on the stack AT ANY ONE TIME when the algorithm analyzes: (()(())(()))?|a) 1|b) 2|c) 3|d) 4 or more","c","In the entire parenthesis balancing method when the incoming token is a left parenthesis it is pushed into stack. A right parenthesis makes pop operation to delete the elements in stack till we get left parenthesis as top most element. 3 elements are there in stack before right parentheses comes. Therefore, maximum number of elements in stack at run time is 3.",10,
14,"Consider the usual algorithm for determining whether a sequence of parentheses is balanced. Suppose that you run the algorithm on a sequence that contains 2 left parentheses and 3 right parentheses (in some order). The maximum number of parentheses that appear on the stack AT ANY ONE TIME during the computation?|a) 1|b) 2|c) 3|d) 4 or more","b","In the entire parenthesis balancing method when the incoming token is a left parenthesis it is pushed into stack. A right parenthesis makes pop operation to delete the elements in stack till we get left parenthesis as top most element. 2 left parenthesis are pushed whereas one right parenthesis removes one of left parenthesis. 2 elements are there before right parenthesis which is the maximum number of elements in stack at run time.",10,
15,"Here is an infix expression: 4 + 3*(6*3-12). Suppose that we are using the usual stack algorithm to convert the expression from infix to postfix notation. The maximum number of symbols that will appear on the stack AT ONE TIME during the conversion of this expression?|a) 1|b) 2|c) 3|d) 4","d","When we perform the conversion from infix to postfix expression +, *, (, * symbols are placed inside the stack. A maximum of 4 symbols are identified during the entire conversion.",10,
16,"The data structure required to check whether an expression contains a balanced parenthesis is?|a) Stack|b) Queue|c) Array|d) Tree","a","The stack is a simple data structure in which elements are added and removed based on the LIFO principle. Open parenthesis is pushed into the stack and a closed parenthesis pops out elements till the top element of the stack is its corresponding open parenthesis. If the stack is empty, parenthesis is balanced otherwise it is unbalanced.",10,
17,"What data structure would you mostly likely see in non recursive implementation of a recursive algorithm?|a) Linked List|b) Stack|c) Queue|d) Tree","b","In recursive algorithms, the order in which the recursive process comes back is the reverse of the order in which it goes forward during execution. The compiler uses the stack data structure to implement recursion. In the forwarding phase, the values of local variables, parameters and the return address are pushed into the stack at each recursion level. In the backing-out phase, the stacked address is popped and used to execute the rest of the code.",10,
18,"The process of accessing data stored in a serial access memory is similar to manipulating data on a ________|a) Heap|b) Binary Tree|c) Array|d) Stack","d","In serial access memory data records are stored one after the other in which they are created and are accessed sequentially. In stack data structure, elements are accessed sequentially. Stack data structure resembles the serial access memory.",10,
19,"The postfix form of A*B+C/D is?|a) *AB/CD+|b) AB*CD/+|c) A*BC+/D|d) ABCD+/*","b","Infix expression is (A*B)+(C/D) AB*+(C/D) AB*CD/+. Thus postfix expression is AB*CD/+.",10,
20,"Which data structure is needed to convert infix notation to postfix notation?|a) Branch|b) Tree|c) Queue|d) Stack","d","The Stack data structure is used to convert infix expression to postfix expression. The purpose of stack is to reverse the order of the operators in the expression. It also serves as a storage structure, as no operator can be printed until both of its operands have appeared.",10,
21,"The prefix form of A-B/ (C * D ^ E) is?|a) -/*^ACBDE|b) -ABCD*^DE|c) -A/B*C^DE|d) -A/BC*^DE","c","Infix Expression is (A-B)/(C*D^E) (-A/B)(C*D^E) -A/B*C^DE. Thus prefix expression is -A/B*C^DE.",10,
22,"What is the result of the following operation? Top (Push (S, X))?|a) X|b) X+S|c) S|d) XS","a","The function Push(S,X) pushes the value X in the stack S. Top() function gives the value which entered last. X entered into stack S at last.",10,
23,"Which data structure is used for implementing recursion?|a) Queue|b) Stack|c) Array|d) List","b","Stacks are used for the implementation of Recursion.",10,
24,"Which of the following statement(s) about stack data structure is/are NOT correct?|a) Linked List are used for implementing Stacks|b) Top of the Stack always contain the new node|c) Stack is the FIFO data structure|d) Null link is present in the last node at the bottom of the stack","c","Stack follows LIFO.",10,
26,"Which of the following is not an inherent application of stack?|a) Reversing a string|b) Evaluation of postfix expression|c) Implementation of recursion|d) Job scheduling","d","Job Scheduling is not performed using stacks.",10,
27,"The type of expression in which operator succeeds its operands is?|a) Infix Expression|b) Prefix Expression|c) Postfix Expression|d) Both Prefix and Postfix Expressions","c","The expression in which operator succeeds its operands is called postfix expression. The expression in which operator precedes the operands is called prefix expression. If an operator is present between two operands, then it is called infix expressions.",10,
28,"The data structure required for Breadth First Traversal on a graph is?|a) Stack|b) Array|c) Queue|d) Tree","c","In Breadth First Search Traversal, BFS, starting vertex is first taken and adjacent vertices which are unvisited are also taken. Again, the first vertex which was added as an unvisited adjacent vertex list will be considered to add further unvisited vertices of the graph. To get the first unvisited vertex we need to follows First In First Out principle. Queue uses FIFO principle.",10,
29,"A queue follows __________|a) FIFO (First In First Out) principle|b) LIFO (Last In First Out) principle|c) Ordered array|d) Linear tree","a","Element first added in queue will be deleted first which is FIFO principle.",10,
30,"Circular Queue is also known as ________|a) Ring Buffer|b) Square Buffer|c) Rectangle Buffer|d) Curve Buffer","a","Circular Queue is also called as Ring Buffer. Circular Queue is a linear data structure in which last position is connected back to the first position to make a circle. It forms a ring structure.",10,
31,"A data structure in which elements can be inserted or deleted at/from both ends but not in the middle is?|a) Queue|b) Circular queue|c) Dequeue|d) Priority queue","c","In dequeuer, we can insert or delete elements from both the ends. In queue, we will follow first in first out principle for insertion and deletion of elements. Element with least priority will be deleted in a priority queue.",10,
